,county,inspector,siteName,Permittee,reportNumber,permit,date,sitecondition,sitestatus,EvidenceCollected,Compliance,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,comments
2665,Garrett,SCHARTIGER,Bakerstown No. 1 Mine,Backbone Mountain LLC,DM-112-171016-FIR,DM-03-112,10/16/17,C,I,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,N/A,No,No,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted.  No issues noted.   Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2400,Allegany,MURPHY,Federal Hill Mine,"Beechwod Coal, LLC",451-171016A-FIR,SM-06-451,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,OPA-16-02,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,11/23/17,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2283,Garrett,SCHARTIGER,Beechwood Mine,"Beechwod Coal, LLC",SM-02-442-171016-FIR,SM-02-442,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,empty,No,No,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Onsite review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Mining is active on the Waynesburg coal seam. Coal is being trucked off the site today.  Beechwood Coal is working with Bureau on several changes and additions to the haul road and the drainage controls.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2282,Garrett,SCHARTIGER,Beechwood Mine,"Beechwod Coal, LLC",SM-02-442-171016-FIR-Aerial,SM-02-442,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2505,Allegany,SCHARTIGER,Winter Farm,"Beechwod Coal, LLC",SM-462-171016-FIR,SM-13-462,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2440,Allegany,SCHARTIGER,Pond Hill Mine,"Beechwod Coal, LLC",457-171016-FIR,SM-11-457,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,No,No,#2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted. The operator will need to repair all rills and washes that are on the reclamation. After the rill and wash repair is completed, all affected areas as well as any bare areas will need to be seeded and mulched.  Repairs will need to be completed this fall.   Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2596,Allegany,MURPHY,Mine No. 5 Tipple,"Beechwod Coal, LLC",104-171016-FIR,SC-08-104,10/16/17,no answer given,A,VO,N/A,Yes,Yes,N/A,Yes,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,11/23/17,Yes,Yes,Yes,Yes,Yes,N/A,"No discharge from #002.  Outfall # 003 has a pH of 7.1, 1280 Us at 59  degrees F. DMR's are current and appear in good order.      "
2597,Allegany,MURPHY,Mine No. 5 Tipple,"Beechwod Coal, LLC",104-171016A-FIR,SC-08-104,10/16/17,no answer given,A,VO,N/A,Yes,Yes,N/A,Yes,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,N/A,N/A,No,N/A,N/A,N/A,Yes,Yes,Yes,11/23/17,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2172,Allegany,MONGOLD,Carlos Mine,"Beechwod Coal, LLC",393-171016-FIR,SM-84-393,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,events.,N/A,N/A,N/A,Yes,Yes,Yes,11/23/17,Yes,Yes,N/A,N/A,N/A,6/6/18," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.    "
2250,Allegany,MONGOLD,Naked Lake/Cabin Run,"Beechwod Coal, LLC",439-171016-FIR,13-SP-1100,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,Yes,7/31/18,Yes,Yes,N/A,N/A,N/A,2/16/18," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.    "
2348,Allegany,MURPHY,Commonwealth Mine,"Beechwod Coal, LLC",447-171016A-FIR,SM-05-447,10/16/17,no answer given,C,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,blasting,N/A,N/A,Yes,Yes,.,11/23/17,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.   "
2058,Allegany,MURPHY,Silt Pit,"Beechwod Coal, LLC",359-171016A-FIR,SM-08-359,10/16/17,no answer given,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2549,Allegany,MURPHY,Jackson Mt. Big Vein Mine,"C & S Coal Company, Inc.",456-171016-FIR,SM-09-456,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Discharge from outfall #001 has a pH of 6.3, 1280 Us, at 58 degrees F. DMR's are current and appear in good order.  Backfilling and mining in progress.     "
2550,Allegany,MURPHY,Jackson Mt. Big Vein Mine,"C & S Coal Company, Inc.",456-171016A-FIR,SM-09-456,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2376,Allegany,MURPHY,Midlothian Barnes Mine,"Clise Coal Co., Inc.",449-171016A-FIR,SM-05-449,10/16/17,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,current?,N/A,N/A,N/A,Yes,N/A,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2241,Allegany,MURPHY,Watertank Pittsburg Mine,"Cobra Mining, Inc.",437-171016A-FIR,SM-01-437,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,needed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,10/27/17,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2654,Garrett,MURPHY,Steyer Deep Mine,"Deer Haven Farms, LLC",121-171016A-FIR,SC-17-121,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,2/16/18,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2066,Allegany,MURPHY,Barnes Mine,"Fairview Coal Company, Inc.",399-171016-FIR,SM-85-399,10/16/17,no answer given,C,VO,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2214,Garrett,MURPHY,Pee Wee Hill Mine,"G & S Coal Company, Inc",435-171016A-FIR,SM-00-435,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/31/17,Yes,Yes,Yes,Yes,N/A,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.        "
2271,Garrett,SCHARTIGER,Wildman Mine,"G & S Coal Company, Inc",441-171016-FIR,SM-02-441,10/16/17,C,C,VO,no answer given,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,Yes,N/A,Yes,N/A,N/A,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Rill repair on the Benard Tract is complete. The operator has filled all rills and washes with #2-#4 stone.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2270,Garrett,SCHARTIGER,Wildman Mine,"G & S Coal Company, Inc",441-171016-FIR-Aerial,SM-02-441,10/16/17,C,C,VO,no answer given,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,Yes,N/A,Yes,N/A,N/A,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was completed.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2530,Garrett,MONGOLD,Messenger/Harlem Mine,"G & S Coal Company, Inc",455-171016-FIR,SM-08-455,10/16/17,C,I,P,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,12/10/17,Yes,Yes,Yes,N/A,N/A,N/A,"Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  Some rills that were missed when recent repairs were made are visible on the attached aerial photograph and need repaired.  Please note that backfilling equipment is to be returned to this permit site by November 15, 2017 and backfilling is to resume until the site is totally backfilled and reclaimed.  If you have any questions please contact this inspector.          "
2132,Garrett,MURPHY,Manor Hill Job,"G & S Coal Company, Inc",421-171016A-FIR,SM-92-421,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/17,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date All associated perimeter controls are reclaimed and there is no mining drainage directed to outfall #4. Outfall #4 is therefore eliminated as per the approved Coal Mining Permit.     "
2258,Allegany,MONGOLD,Miller Road Mine,"G & S Coal Company, Inc",440-171016-FIR,SM-01-440,10/16/17,C,A,P,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,12/10/17,Yes,Yes,N/A,N/A,N/A,12/31/17," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  The haulroad has washed due to a large storm event and still needs repaired.  When Tri-Star Mining is finished backfilling and reclamation on the Franklin pit area, G&S coal is to continue with backfilling operations and reclamation until the entire site is completed.      "
2433,Garrett,MURPHY,Duckworth Mine,"G & S Coal Company, Inc",454-171016A-FIR,SM-07-454,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,today?,today?,pumping,Yes,Yes,Yes,Yes,Contemporaneous?,Yes,12/10/17,Yes,Yes,Yes,Yes,Yes,12/10/17,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2111,Allegany,MURPHY,Common Wealth,"Jenkins Development, Inc.",411-171016A-FIR,SM-87-411,10/16/17,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,.,current?,N/A,N/A,N/A,Yes,N/A,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.   "
2389,Garrett,SCHARTIGER,Paugh Tract/Potomac Camp,Laoc Corp.,450-171016-FIR,SM-06-450,10/16/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,from,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2454,Garrett,SCHARTIGER,Althouse Hill Mine,Laoc Corp.,458-171016-FIR,SM-11-458,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted. Several bare areas were noted on the recently planted areas. The operator will monitor the bare areas and make repairs if needed.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2473,Ga,SCHARTIGER,Underwood Mine,Laoc Corp.,460-171016-FIR,SM-12-460,10/16/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,N/A,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted. Several bare areas were identified adjacent to the wood line it the Western portion of the permit. The operator will need to monitor the bare areas and make repairs if required. Lime, fertilizer, seed and mulch may be required.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2520,Garrett,SCHARTIGER,Mettiki Mine,Mettiki Coal LLC,DM-101-171016-FIR,DM-84-101,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,No,N/A,Yes,Yes,No,Yes,N/A,N/A,N/A,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Aerial Inspections today conducted by John Carey, Tom Murray and Jeff Snyder for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  A review of the aerial photos was conducted. There are several items that need to be addressed by the operator.  The operator will apply sub-soil, top-soil, seed and mulch to any of the benches that are established on Refuse 2.  The operator will fill all low areas that are pooling water on the benches of Refuse 2. Positive drainage off of the refuse pile is required.  The operator will repair any and all rills and washes on Refuse 2.  The operator will schedule and complete the reclamation, rill repair, low area fills, seeding and mulching by the end of December 31, 2017.   Any questions or concerns, please contact this inspector @ (301)697-0344     "
2301,Allegany,MURPHY,Hampshire Hill,Not filled out,430-171016A-FIR,SM-98-430,10/16/17,no answer given,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,No,No,N/A,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/17,Yes,Yes,Yes,N/A,Yes,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.      "
2144,Garrett,MURPHY,Weir-Jones Mine,Pine Mountain Coal Company,424-171016A-FIR,SM-95-424,10/16/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10/1/17,Yes,Yes,Yes,Yes,Yes,Yes,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2109,Allegany,MURPHY,Harvey Mine,"Ritchie Trucking & Excavating, Inc.",407-171016-FIR,SM-86-407,10/16/17,C,C,VO,no answer given,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/23/16,N/A,N/A,N/A,Yes,N/A,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2331,Garrett,MONGOLD,Little Pittsburgh Strip,"Savage Mountain Minerals, Inc.",445-171016-FIR,SM-04-445,10/16/17,C,A,P,no answer given,Yes,Yes,Yes,Yes,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,7/31/18,Yes,Yes,N/A,N/A,N/A,N/A," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.      "
2494,Garrett,MONGOLD,Macgruder Mine,"Savage Mountain Minerals, Inc.",461-171016-FIR,SM-13-461,10/16/17,C,A,P,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,9/30/17,Yes,Yes,N/A,N/A,N/A,Yes," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  Water in the pit appears not to meet the pH requirements and needs to be treated before being pumped out of the pit.      "
2365,Garrett,MONGOLD,Russell Farm,"Savage Mountain Minerals, Inc.",448-171016-FIR,SM-05-448,10/16/17,C,A,P,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,Yes,Yes,9/30/17,Yes,Yes,N/A,N/A,N/A,12/31/17," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  Water in the pit does not appear to meet the pH standards and need to be treated before being pumped out.     "
